#Char	Unicode	PinYin	src	ceftab	cnsunipy	HYDZD	hy1	unihanpy	unihandb	checked	modified
㐀	U+3400	ye4	cefpytab	ye4	qiu1			qiu1		no	
㐁	U+3401	tian4	HYDZD	tian3	tian4	tian4		tian3 tian4		no	
㐂	U+3402									no	
㐃	U+3403									no	
㐄	U+3404	kua3	cefpytab	kua3	kua4			kua4		no	
㐅	U+3405	wu3	cefpytab	wu3	wu3			wu3		no	
㐆	U+3406	yin3	HYDZD			yin3		yin3		no	
㐇	U+3407									no	
㐈	U+3408									no	
㐉	U+3409									no	
㐊	U+340A									no	
㐋	U+340B									no	
㐌	U+340C	yi2	HYDZD	yi4	yi2	yi2		si4 yi2		no	
㐍	U+340D									no	
㐎	U+340E									no	
㐏	U+340F									no	
㐐	U+3410									no	
㐑	U+3411									no	
㐒	U+3412									no	
㐓	U+3413									no	
㐔	U+3414									no	
㐕	U+3415									no	
㐖	U+3416	xie2	HYDZD	ye4	xie2	xie2		ye4		no	
㐗	U+3417									no	
㐘	U+3418									no	
㐙	U+3419									no	
㐚	U+341A									no	
㐛	U+341B									no	
㐜	U+341C	qiu2	cefpytab	qiu2	qiu2			chou2		no	
㐝	U+341D									no	
㐞	U+341E									no	
㐟	U+341F									no	
㐠	U+3420									no	
㐡	U+3421	nuo4	cefpytab	nuo4	nuo4			nuo4		no	
㐢	U+3422									no	
㐣	U+3423									no	
㐤	U+3424	dan1,qiu2	HYDZD	dan1	dan1	dan1 qiu2		qiu2		no	
㐥	U+3425									no	
㐦	U+3426									no	
㐧	U+3427									no	
㐨	U+3428	xu4	HYDZD	xu4	xu4	xu4		xu4		no	
㐩	U+3429	xing2	HYDZD	xing2	xing2	xing2		xing2		no	
㐪	U+342A									no	
㐫	U+342B	xiong1	cefpytab	xiong1	xiong1			xiong1		no	
㐬	U+342C	liu2	cefpytab	liu2	huang1			liu2		no	
㐭	U+342D	lin3	cefpytab	lin3	lin3			lin3		no	
㐮	U+342E	xiang1	cnsunipy		xiang1			xiang1		no	
㐯	U+342F	yong1	unihanpy					yong1		no	
㐰	U+3430	xin4	cefpytab	xin4	xin4			xin4		no	
㐱	U+3431	zhen3	cefpytab	zhen3	zhen3			zhen3		no	
㐲	U+3432	dai4	HYDZD	da4	dai4	dai4		dai4		no	
㐳	U+3433	wu4	HYDZD	wu4	wu4	wu4		wu4		no	
㐴	U+3434	pan1	cefpytab	pan1	pan1			pan1		no	
㐵	U+3435									no	
㐶	U+3436									no	
㐷	U+3437	ma3,ma4,mian2	unihanpy					ma3 ma4 mian2		no	
㐸	U+3438	ci4,qian4	HYDZD	qian4	qian4	ci4 qian4		qian4		no	
㐹	U+3439	yi4	cefpytab	yi4	qi4			yi4		no	
㐺	U+343A	yin2,zhong4	HYDZD	zhong4	zhong4	yin2 zhong4		zhong4		no	
㐻	U+343B	nei4	HYDZD	nei4	nei4	nei4		n3 nei4 ng3		no	
㐼	U+343C	sheng1	cefpytab	sheng1	sheng1			cheng4 zheng3		no	
㐽	U+343D									no	
㐾	U+343E									no	
㐿	U+343F									no	
㑀	U+3440									no	
㑁	U+3441	zhu2	cefpytab	zhu2	zhuo1			zhuo1		no	
㑂	U+3442	fang3	cefpytab	fang3	fang3			fang3 pang2		no	
㑃	U+3443	ao4	cnsunipy		ao4			ao3		no	
㑄	U+3444	wu3	cefpytab	wu3	wu3			wu3		no	
㑅	U+3445	ni3	cefpytab	ni3	zuo4			zuo4		no	
㑆	U+3446									no	
㑇	U+3447	zhou4	unihanpy					zhou4		no	
㑈	U+3448	dong4	unihanpy					dong4		no	
㑉	U+3449	su4	HYDZD	su4	su4	su4		su4		no	
㑊	U+344A	yi4	HYDZD	yi4	yi4	yi4		yi4		no	
㑋	U+344B	qiong2	HYDZD	qiong4	qiong4	qiong2		jiong4 kong3 qiong2		no	
㑌	U+344C	kuang1,wang1	HYDZD	wang1	kuang1	kuang1 wang1		wang1 kuang1		no	
㑍	U+344D	lei4	HYDZD	lei4	lei4	lei4		lei3 lei4		no	
㑎	U+344E	nao3	HYDZD	nao3	nao3	nao3		nao3		no	
㑏	U+344F	zhu4	cefpytab	zhu4	zhu4			zhu4		no	
㑐	U+3450	shu1	HYDZD	shu2	shu2	shu1				no	
㑑	U+3451	zan3	cefpytab	zan3	za2					no	
㑒	U+3452									no	
㑓	U+3453									no	
㑔	U+3454	xu3	unihanpy					xu3		no	
㑕	U+3455									no	
㑖	U+3456									no	
㑗	U+3457	shen1	HYDZD	shen1	shen1	shen1				no	
㑘	U+3458	jia4	cefpytab	jia4	jie4			jie4		no	
㑙	U+3459	die2	HYDZD	die2	die2	die2		die2 yong3		no	
㑚	U+345A	nuo2	HYDZD		nuo2	nuo2		nuo2		no	
㑛	U+345B	su4	HYDZD	su4	su4	su4		su4		no	
㑜	U+345C	chi4,yi4	HYDZD	chi4	zhe4	chi4 yi4		yi4		no	
㑝	U+345D	long4	cefpytab	long4	long4			long4		no	
㑞	U+345E	ying4	HYDZD	yun4	yun4	ying4		ying4		no	
㑟	U+345F	beng3	HYDZD	bang3	ben3	beng3		beng3 bo2 peng3		no	
㑠	U+3460									no	
㑡	U+3461									no	
㑢	U+3462									no	
㑣	U+3463	lan2	HYDZD	lan2	lan2	lan2		lan2		no	
㑤	U+3464	miao2	cnsunipy		miao2			miao2		no	
㑥	U+3465	yi4	HYDZD	yi4	yi4	yi4		yi4		no	
㑦	U+3466	li4	HYDZD	li4	li4	li4		li4		no	
㑧	U+3467	ji4	cefpytab	ji4	ji4			ji4		no	
㑨	U+3468	yu3	unihanpy					yu3		no	
㑩	U+3469	luo2	unihanpy					luo2		no	
㑪	U+346A	chai2	unihanpy					chai2		no	
㑫	U+346B									no	
㑬	U+346C									no	
㑭	U+346D									no	
㑮	U+346E	hun2	HYDZD	hun2	hun2	hun2		hun2		no	
㑯	U+346F	xu3	HYDZD		xu3	xu3		xu3		no	
㑰	U+3470	hui4	cefpytab	hui4	hui4			hui4		no	
㑱	U+3471	nao2	cefpytab	nao2	nao2			rao3		no	
㑲	U+3472									no	
㑳	U+3473	zhou4,zhu1	HYDZD	zhou4	zhou4	zhou4 zhu1		zhou4		no	
㑴	U+3474	qin1	cefpytab	qin1	qin1					no	
㑵	U+3475	ji2	cefpytab	ji2	ji2			han4 ji2 jie2 zha3 zi2		no	
㑶	U+3476	xi4	HYDZD	xi4	xi4	xi4		xi4		no	
㑷	U+3477	tai4	cefpytab	tai4	tai4			tai4 tian4 zhuan4		no	
㑸	U+3478	yao2	HYDZD			yao2		ai3 yao2 you2		no	
㑹	U+3479	hui4	cefpytab	hui4	gui4			hui4		no	
㑺	U+347A	jun4	cefpytab	jun4	jun4			jun4		no	
㑻	U+347B	ma4	HYDZD	ma4	ma4	ma4		ma4		no	
㑼	U+347C	lve4	HYDZD	lüe4	lüe4	lve4		lüe4		no	
㑽	U+347D	tang2	cefpytab	tang2	tang2			tang2		no	
㑾	U+347E	yao2	HYDZD	yao2	yao2	yao2		xiao2 yao2		no	
㑿	U+347F	zhao4	HYDZD	zhao4	zhao4	zhao4		tiao2 zhao4		no	
㒀	U+3480	zhai1,zha3	HYDZD	zhe2	zha3	zhai1 zha3		zha3		no	
㒁	U+3481	yu3	HYDZD	yu3	yu3	yu3		yu3 yun4		no	
㒂	U+3482	zhuo2	HYDZD		zhuo2	zhuo2		ku4 zhuo2		no	
㒃	U+3483	er4	cefpytab	er4	er4			er4		no	
㒄	U+3484	ran3	HYDZD	ran3	ran3	ran3		nang4 nen4 ran3		no	
㒅	U+3485	qi3	HYDZD	qi3	qi3	qi3		qi3		no	
㒆	U+3486	xi4	cefpytab	xi4	xi4			chi4 ke4 xi4 xiao4 yan4		no	
㒇	U+3487	wu3	HYDZD	wu3	wu3	wu3		mu4 wu3		no	
㒈	U+3488	han4	HYDZD	xian4	xian4	han4		han4		no	
㒉	U+3489	chang3	cefpytab	chang3	tang3			tang3		no	
㒊	U+348A	se4	HYDZD	se4	se4	se4		se4		no	
㒋	U+348B	si1	cefpytab	si1	si1					no	
㒌	U+348C	qiong2	cefpytab	qiong2	qiong2			qiong2		no	
㒍	U+348D	lei2	HYDZD		lei3	lei2		lei2 lei3		no	
㒎	U+348E	sa4	HYDZD	zhuo2	sa4	sa4		sa3 sa4 tan4		no	
㒏	U+348F									no	
㒐	U+3490									no	
㒑	U+3491	hui4,kui3	HYDZD	hui4	hui4	hui4 kui3		hui4 kui3		no	
㒒	U+3492	pu2	cnsunipy		pu2			pu2		no	
㒓	U+3493	ta4	HYDZD	ta4	ta4	ta4		ta4		no	
㒔	U+3494	du2,shu2,tu4	HYDZD	du2	du2	du2 shu2 tu4		shu3		no	
㒕	U+3495	yang1	HYDZD	yang1	yang1	yang1				no	
㒖	U+3496	ou3	cnsunipy		ou3			ou3		no	
㒗	U+3497	tai2	cefpytab	tai2	tai2			tai2		no	
㒘	U+3498									no	
㒙	U+3499	mian2	HYDZD	mian2	mian2	mian2		mian2		no	
㒚	U+349A	wen3,yin4	HYDZD	yin4	yin4	wen3 yin4		wen3		no	
㒛	U+349B	diao4	HYDZD	tiao3	diao3	diao4		diao4		no	
㒜	U+349C	yu3	HYDZD	yu3	yu3	yu3		yu2 yu3		no	
㒝	U+349D	mie4,wa4	HYDZD	mie4	mie4	mie4 wa4		mie4 wa4		no	
㒞	U+349E	jun4	cefpytab	jun4	jun4			jun4 ke3		no	
㒟	U+349F	niao3	HYDZD	niao3	niao3	niao3		niao3		no	
㒠	U+34A0	xie4	HYDZD	xie4	xie4	xie4		xie4		no	
㒡	U+34A1	you2	HYDZD	you2	you2	you2		you2		no	
㒢	U+34A2									no	
㒣	U+34A3									no	
㒤	U+34A4	che4	HYDZD	she4	che4	che4		she4		no	
㒥	U+34A5	feng1	HYDZD	feng1	feng1	feng1				no	
㒦	U+34A6	lei4,lei3	HYDZD	lei3	lei3	lei4 lei3		lei3		no	
㒧	U+34A7	li2	cefpytab	li2	li4			li4		no	
㒨	U+34A8	xian1	cefpytab	xian1	xian1					no	
㒩	U+34A9	luo3	cefpytab	luo3	luo3			luo3		no	
㒪	U+34AA	xi2	cnsunipy		xi2					no	
㒫	U+34AB	ji4	cefpytab	ji4	ji4			ji4		no	
㒬	U+34AC									no	
㒭	U+34AD	kun1	cefpytab	kun1	kun1					no	
㒮	U+34AE									no	
㒯	U+34AF	ye4	cnsunipy		ye4					no	
㒰	U+34B0	quan2	cefpytab	quan2	quan2			quan2		no	
㒱	U+34B1									no	
㒲	U+34B2	cai2	cefpytab	cai2	cai2			cai2		no	
㒳	U+34B3	liang3	cefpytab	liang3	liang3			liang3		no	
㒴	U+34B4	gu3	HYDZD	gu3	gu3	gu3		gu3		no	
㒵	U+34B5	mao4	cnsunipy		mao4			mao4		no	
㒶	U+34B6	gong1	cnsunipy		gong1					no	
㒷	U+34B7	xing1	cnsunipy		xing1			gua3 xing4 xu3		no	
㒸	U+34B8	jian3,qian3	HYDZD	sui4	sui4	jian3 qian3		sui4 xuan2		no	
㒹	U+34B9	dian1	cnsunipy		dian1	 				no	
㒺	U+34BA	wang3	cefpytab	wang3	wang3					no	
㒻	U+34BB	mao4	cnsunipy	mao4	mao4	 		mao4		no	
㒼	U+34BC	man2	HYDZD	man2	man2	man2		man2		no	
㒽	U+34BD	quan1	HYDZD	quan1	quan1	quan1				no	
㒾	U+34BE	shi4	HYDZD		shi4	shi4		shi4		no	
㒿	U+34BF	li2	HYDZD	li2	li2	li2		li2 li4		no	
㓀	U+34C0									no	
㓁	U+34C1	wang3	unihanpy					wang3		no	
㓂	U+34C2	kou4	cefpytab	kou4	kou4			kou4		no	
㓃	U+34C3	du4	HYDZD	du4	du4	du4		chui2 du4 zha4		no	
㓄	U+34C4	zhen4	HYDZD	zhen4	chen4	zhen4		zhen4		no	
㓅	U+34C5	ting1	HYDZD	ting1	ting1	ting1				no	
㓆	U+34C6									no	
㓇	U+34C7	wu4	cnsunipy		wu4					no	
㓈	U+34C8	bing4	HYDZD	bing4	bin4	bing4		bing4 bei4 fei4 ye4		no	
㓉	U+34C9	huo4	HYDZD	huo2	huo4	huo4		huan4 huo2 huo4		no	
㓊	U+34CA	dong4	HYDZD	dong4	dong4	dong4		dong4		no	
㓋	U+34CB	gong4	HYDZD	gong3	gong4	gong4		gong4		no	
㓌	U+34CC	cheng1	HYDZD	cheng1	cheng1	cheng1				no	
㓍	U+34CD									no	
㓎	U+34CE	qin4,qin1,qin3	HYDZD	qin1	qin1	qin4 qin1 qin3		lian2 qin3 qin4		no	
㓏	U+34CF	jiong3	HYDZD	jiong3	jiong3	jiong3		jiong3		no	
㓐	U+34D0	lu4	HYDZD	lu4	lu4	lu4		lu4		no	
㓑	U+34D1	xing4	HYDZD	xing4	xing4	xing4		xing4		no	
㓒	U+34D2									no	
㓓	U+34D3	nan2	HYDZD	nan2	nan2	nan2		nan2		no	
㓔	U+34D4	xie4	HYDZD	xie4	xie4	xie4		xie4		no	
㓕	U+34D5	mie4	cefpytab	mie4	mie4					no	
㓖	U+34D6	bi4	HYDZD	bi4	bi4	bi4		bi4 bie2		no	
㓗	U+34D7	jie2	cefpytab	jie2	jie2			jie2 qi3		no	
㓘	U+34D8	su4,su4	HYDZD		su4	su4 su4		su4		no	
㓙	U+34D9									no	
㓚	U+34DA	gong1	HYDZD	gong1	gong1	gong1				no	
㓛	U+34DB	gong1	cefpytab	gong1	gong1					no	
㓜	U+34DC	you4	cnsunipy		you4	 		you4		no	
㓝	U+34DD	xing2	cefpytab	xing2	xing2			xing2		no	
㓞	U+34DE	qia4	HYDZD	jie2	qi4	qia4		qi4 qia4 yao2		no	
㓟	U+34DF	pi2	HYDZD	pi1	pi2	pi2				no	
㓠	U+34E0	dian4,dian3	HYDZD	dian4	dian3	dian4 dian3		dian4		no	
㓡	U+34E1	fu3,gua1	HYDZD	fou3	fou3	fu3 gua1		fu3		no	
㓢	U+34E2	luo4	HYDZD	luo2	luo4	luo4		luo4		no	
㓣	U+34E3	ge1,qia4	HYDZD	qia4	ge1	ge1 qia4		qia4		no	
㓤	U+34E4	qia4	HYDZD	jia2	qia4	qia4		jie2 qia4		no	
㓥	U+34E5									no	
㓦	U+34E6	bai1	HYDZD			bai1				no	
㓧	U+34E7	gan1	HYDZD	gan1	gan1	gan1		yan3		no	
㓨	U+34E8	ci4	cefpytab	ci4	ci4			ci2 ci4		no	
㓩	U+34E9	jie1,xuan1	HYDZD	xuan1	xuan1	jie1 xuan1				no	
㓪	U+34EA	lang3	unihanpy					lang3		no	
㓫	U+34EB									no	
㓬	U+34EC	ku1	cefpytab	ku1	ku1					no	
㓭	U+34ED	she2	HYDZD	she2	she2	she2		he2		no	
㓮	U+34EE	diao1	cefpytab	diao1	diao1					no	
㓯	U+34EF	li4	cefpytab	li4	li2			li2		no	
㓰	U+34F0	hua4	unihanpy					hua4		no	
㓱	U+34F1	shu1,tou2	HYDZD	tou2	tou2	shu1 tou2		tou2		no	
㓲	U+34F2	pian1	HYDZD	pian1	pian1	pian1		pian4		no	
㓳	U+34F3	di1	HYDZD	di1	di1	di1				no	
㓴	U+34F4	ruan3	HYDZD	ruan3	ruan3	ruan3		jun4 ruan3		no	
